Nr,Name,pics,Scientific name,Description,Temperature,Nectar,longevity
9,Alfalfa,50,Medicago sativa,"A flowering plant in the pea family, Alfalfa is nutritious and may be used for a variety of benefits including; treatment for alcoholism and drug dependency.
It has deep roots and can grow quite tall making it very resilient. The leaves and young shoots are the only parts that you can eat raw.",44.99346154,64,6
5,Asparagus,100,Asparagus,"Asparagus, easily identified by its fleshy green spears which are luscious and delicate, can be eaten raw as opposed to boiled. It is a good source of vitamin C and potassium.

Be mindful of wild Asparagus which has a thinner stalk than those usually found in grocery-stores.

Harvest length of these plants are usually 6-8 inches.",41.57769231,0,2
46,Blue Vervain,50,Verbena hastata,"You should refrain from this plant if you are on blood pressure medication or involved with hormonal therapy. It is mostly found in moist conditions with full to partial sun. Places it is commonly found include: moist meadows, riversides and pastures. You can eat its leaves and flowers raw but the seeds must be roasted.",33.00192308,0,0
10,Broadleaf Plantain,50,Plantago major,"A species of the plantain family, Broadleaf Plantain is rich in vitamins A, C and K. The leaves are green and oval-shaped with thick-stemmed leaves that meet at a base.
The entire plant is edible but it recommended that the leaves be eaten raw while they are young and tender.",42.42076923,123,44
8,Bull Thistle,50,Cirsium vulgare,"You can identify this plant by its firm and thorny stem and leaves that end in sharp, extended thorns. This plant looks like one should be skeptical to touch, let alone eat it.
However, the Bull Thistle root as well as its young leaves are edible. The prickles must be removed from the leaves before consumption!",36.22269231,269,22
45,Cattail,50,Typha augustifolia,"Easily recognizable by its brown, cigar-shaped head, you can find the cattail in open wet areas as well as swamps and ditches. Most of the cattail is edible. You can eat the young stems raw, along with the rootstock of the plant after the mud is washed off. The leaves are better off boiled.",32.95115385,0,35
3,Chickweed,150,Stellaria media,"This plant, knows scientifically as “Stellaria media”, can be used as a cooling herbal remedy and a safe, nutritious edible.
Chickweeds can be identified by fine hairs located on only one side of its stem in a single band and fine hairs on its sepals. A prime salad ingredient if you were to ask me!",44.16166667,37,4
6,Chicory,50,Cichorium Intybus,"If I were to make a decision solely based on appearance, I wouldn’t hesitate to snack on this beautiful plant!
This member of the Dandelion family is a bushy plant with typically bright blue flowers. The leaves of this plant can be eaten raw, along with the flowers but the roots aren’t edible unless they are boiled.",42.79583333,0,6
44,Cleavers,50,Galium aparine,"An annual plant with small hooked hairs growing out of their leaves and stems. It is also known as “stickyweed”, “sticky willow”, or “sticky jack”.
With nicknames like these, you were right to assume that the plant is of a sticky texture, as they are indeed. You can this plant raw, however, its small hooked hairs will make it much less appetizing.",35.80875,113,5
49,Coltsfoot,50,Tussilago farfara,"Another member of the daisy family, this plant has bright yellow flowers that bloom early in the spring before any leaves are even present.
Being sceptical of eating anything with the word “foot” in the title, I would probably hesitate before consuming this plant. However, its flowers can be eaten raw as well as its leaves in small quantities.",38.95769231,0,5
48,Common Sow Thistle,100,Sonchus oleraceus,"A plant of the dandelion tribe within the daisy family. These plants have hollow stems, a short taproot and deeply lobed leaves.
The flowers are yellow and the seeds are light with white silky hairs.
The leaves can be eaten raw and will prove to be good for your body as they contain vitamin C, protein and carbohydrates.",38.55769231,109,3
47,Common Yarrow,50,Achillea millefolium,"A flowering plant that is considered by many to be an aggressive weed.
You can easily identify them by their small, enduring white flowers that persist throughout the summer.
You are more likely to spot this plant along roadsides and in fields. The leaves can be eaten raw, although, they are bitter in taste.",33.655,236,42
18,Coneflower,50,Echinacea,"This member of the sunflower family is a heat and drought resistance plant. Tough guy isn’t he? It has purple or pink flowers that display a prickly seed cone in the center.
The leaves are of a rough texture. Tough guy after all. If you were to come across this plant in a time of need, bear in mind that the leaves and flower petals are edible.",41.6532,126,73
11,Creeping Charlie,100,Glechoma hederacea,"Sounds like a detective’s nickname doesn’t it? Actually, this plant which is an excellent source of vitamin C, has been commended for centuries for its nutritious value.
It is covered with very fine hair and its main root is thick. The young leaves of this plant can be consumed raw.",38.8204,27,18
52,Crimson Clover,50,Trifolium incarnatum,"A species of the clover family, the Crimson Clover has leaves and stems that resemble those of the Red Clover.
It grows in fields, meadows and lawns and can reach heights between 30 and 50cm. Which parts of this plant can you eat? The seeds and flowers are edible and can be eaten raw.",41.6688,11,38
4,Curly Dock,150,Rumex crispus,"RumexCrispus, commonly referred to as “Curly Dock”, is a safe selection for a snack if you’re in a tight spot with limited to no other edible options.  Although the leaves of this plant can be described as appetizing and a prime source of both vitamin A and vitamin B, it is best to be consumed moderately as it can cause urinary tract irritations.",43.8584,7,10
55,Daisy Fleabane,770,Erigeron annuus,"Another plant with a hairy nature; the Daisy Fleabane is an attractive plant with composite flowers. It has hairy leaves and stems and is best grown in areas exposed to full sun.
Only the leaves of this plant are edible, although, you might frown while eating them as its hairy nature might result in an unpleasant taste.Another plant with a hairy nature; the Daisy Fleabane is an attractive plant with composite flowers. It has hairy leaves and stems and is best grown in areas exposed to full sun.
Only the leaves of this plant are edible, although, you might frown while eating them as its hairy nature might result in an unpleasant taste.Another plant with a hairy nature; the Daisy Fleabane is an attractive plant with composite flowers. It has hairy leaves and stems and is best grown in areas exposed to full sun.
Only the leaves of this plant are edible, although, you might frown while eating them as its hairy nature might result in an unpleasant taste.",41.122,0,7
2,Dandellion,1056,Taraxacum,"You’re probably thinking “There’s no way I can eat this!”. However, the Taraxacum, or more commonly referred to as “Dandelion”, is, in fact, entirely edible. This means that its flowers, leaves, and even roots,are safe for consumption.
The leaves of a Dandelion are generally 5-25cm long or longer and their flower heads are yellow to orange coloured which are open during the daytime, but closed at night.You’re probably thinking “There’s no way I can eat this!”. However, the Taraxacum, or more commonly referred to as “Dandelion”, is, in fact, entirely edible. This means that its flowers, leaves, and even roots,are safe for consumption.
The leaves of a Dandelion are generally 5-25cm long or longer and their flower heads are yellow to orange coloured which are open during the daytime, but closed at night.You’re probably thinking “There’s no way I can eat this!”. However, the Taraxacum, or more commonly referred to as “Dandelion”, is, in fact, entirely edible. This means that its flowers, leaves, and even roots,are safe for consumption.
The leaves of a Dandelion are generally 5-25cm long or longer and their flower heads are yellow to orange coloured which are open during the daytime, but closed at night.",36.178,0,4
54,Downy Yellow Violet,50,Viola pubescens,"Divisible into two varieties, the Downy Yellow Violet is a soft and hairy violet that can grow up to 9-12 inches tall.
The bright yellow flowers and hairy appearance of this plant make it unique and easy to identify.
Although it is not particularly nutritious, it is safe for you to eat the flowers and leaves of this plant.Divisible into two varieties, the Downy Yellow Violet is a soft and hairy violet that can grow up to 9-12 inches tall.
The bright yellow flowers and hairy appearance of this plant make it unique and easy to identify.
Although it is not particularly nutritious, it is safe for you to eat the flowers and leaves of this plant.Divisible into two varieties, the Downy Yellow Violet is a soft and hairy violet that can grow up to 9-12 inches tall.
The bright yellow flowers and hairy appearance of this plant make it unique and easy to identify.
Although it is not particularly nutritious, it is safe for you to eat the flowers and leaves of this plant.",57.1388,0,5
16,Elderberry,100,Sambucus canadensis,"Found mostly in temperate to subtropical regions of the world, many species are widely cultivated to be used as ornaments.
However, the Elderberry’s flower, as well as its fruit, is edible, although, the raw fruit does not yield a favourable taste.
The fruit, when ripe, is a purplish-black colour. All other parts of this bush are toxic.Found mostly in temperate to subtropical regions of the world, many species are widely cultivated to be used as ornaments.
However, the Elderberry’s flower, as well as its fruit, is edible, although, the raw fruit does not yield a favourable taste.
The fruit, when ripe, is a purplish-black colour. All other parts of this bush are toxic.Found mostly in temperate to subtropical regions of the world, many species are widely cultivated to be used as ornaments.
However, the Elderberry’s flower, as well as its fruit, is edible, although, the raw fruit does not yield a favourable taste.
The fruit, when ripe, is a purplish-black colour. All other parts of this bush are toxic.",53.3164,0,3
53,Evening Primrose,50,Oenothera biennis,"The Evening Primrose is an herbaceous forb that flowers only late in the day and into the evening, hence its name.
It can grow between 30 and 150cm tall and has a bright yellow flower with a mild lemony aroma.
Should you ever have to eat one, remember that the young shoots can be eaten raw as well as the slightly sweet-tasting flowers.The Evening Primrose is an herbaceous forb that flowers only late in the day and into the evening, hence its name.
It can grow between 30 and 150cm tall and has a bright yellow flower with a mild lemony aroma.
Should you ever have to eat one, remember that the young shoots can be eaten raw as well as the slightly sweet-tasting flowers.The Evening Primrose is an herbaceous forb that flowers only late in the day and into the evening, hence its name.
It can grow between 30 and 150cm tall and has a bright yellow flower with a mild lemony aroma.
Should you ever have to eat one, remember that the young shoots can be eaten raw as well as the slightly sweet-tasting flowers.",47.2448,0,1
50,Fern Leaf Yarrow,50,Achillea filipendulina,"Fern Leaf Yarrow grows as a single, stout stem. It has fern-like leaves that are typically 5 to 20cm long. You’re in luck if you find this plant while in need of a snack because its aerial parts are safe to eat.
Although bitter in taste, the leaves of this plant can be eaten raw, but best to do so in small quantities despite its nutritional value.Fern Leaf Yarrow grows as a single, stout stem. It has fern-like leaves that are typically 5 to 20cm long. You’re in luck if you find this plant while in need of a snack because its aerial parts are safe to eat.
Although bitter in taste, the leaves of this plant can be eaten raw, but best to do so in small quantities despite its nutritional value.Fern Leaf Yarrow grows as a single, stout stem. It has fern-like leaves that are typically 5 to 20cm long. You’re in luck if you find this plant while in need of a snack because its aerial parts are safe to eat.
Although bitter in taste, the leaves of this plant can be eaten raw, but best to do so in small quantities despite its nutritional value.",43.2904,0,1
